BRB berightback
BTW bytheway
HJYZ 回家养猪
HOMO 同性恋
HXD 好兄弟
I服了U 我服了你
JBDXBL 鸡巴都笑爆了
JC 警察
JJYY 叽叽歪歪
JJYY 唧唧歪歪
JQ 基情
JQ 奸情
JS 奸商
KKP 看看逼
KKP 磕磕炮
KP 游戏的主持者和发起人
KSY Kiss you
LAG 卡机
LG 撸管
LS 楼上
LX 楼下
LYB 老阴屄
LZ 楼主
LZSB 兰州烧饼
LZSB 楼主傻屄
LZSB 楼主傻逼
Lay了 累了
MB 懵逼
MB 麦霸
MD 妈的
ME2 me too
ML 做爱
MLGB 妈了个逼
MM 妹妹
MM 没门
MM 美眉
MS 貌似
NB 牛吧
NB 牛逼
NB 牛鞭
NBA 牛屄啊
NC 数字控制
NC 牛叉
NC 纳粹
NC 脑残
NC 计算机网络
NMB 你妈逼
NMD 你妈的
NMSL 你美死了
NMSL 柠檬熟了
NMSL 那没事了
NOOB 菜鸟
OMG 我的天哪
P9 啤酒
PFPF 佩服佩服
PG 屁股
PLMM 漂亮美眉
PLZ PLS please
PMP 拍马屁
PPL 人们
PPMM 婆婆妈妈
Pro 专业
RPWT 人品问题
RY 人妖
Rick John 李克强
SJB 神经病
SL 色狼
SP 支持
SSP 深水埗
Sigh 叹息
Simon Li 李世民
TG telegram
THX 3X 谢谢
TST 尖沙咀
TTYL 再见
TX 同学
Tony带水 拖泥带水
UAV 无人机
UB 大招（手游黑话）
UFO 丑的胖的老的
UHC 超硬核
Ulzzang 颜值最高
V5 威武
V587 威武霸气
VC 虚拟歌手团体V家C社
VC 风险投资
VIIV 六四
VIP中P 至尊中至尊
VIP是个P VIP会员是个屁
VO VoiceOVER
VP 微屁
Vtb毕业 虚拟主播引退
V家 VOCALOID家族
WDB 外地逼
WFXX 无法学习
WG 文革
WG 武警
WOC 我肏
WQNMLGB 我去你妈了个屄
WSJ 卫生巾
WSN 猥琐男
WSND 我是你爹
WTF 什么鬼
WWDMZZFYB 为我的莽撞自罚一杯
XMDYS 羡慕的要死
XMSL 羡慕死了
XP 性癖
XSWL 吓死我了
XSWL 笑死我了
XWLB 想我了吧
YHSQ 淫秽色情
YLJ 洋垃圾
YP 硬盘
YXH 营销号
YY 意淫
YYGQ 阴阳怪气
Z>B 利大于弊
ZF 政府
ZG 中共
ZGNB Z哥牛逼
ZQSG 真情实感
ZZ 政治
ZZ 智障
ZZ 转载
ZZZQ 政治正确
a 啊
ac achive
aqy 爱奇艺
av巴蒂 所有人
av巴迪 所有人
awhl 啊我好了
awsl 啊我死了
a他 attack他
a你 attack你
a她 attack她
a它 attack它
a屁屁 app
a我 attack我
b4 before
bao里bao气 宝里宝气
bb 抱抱
bb 拜拜
bbl 求求了
bc 白痴
bcz 不存在
bd 不懂
bdjw 不懂就问
be 不好的结局
bf boyfriend
bff 永远的好朋友
bffl 一生的好朋友
bfm 白富美
bgm backgroundmusic
bhs 不嗨森
bhys 不好意思
bi 逼
biao里biao气 婊里婊气
biss 必死
bizhan B站
bi脸 屄脸
bksy 不可思议
bl 别捞
bl 男同性恋
blh 白莲花
blx 玻璃心
bm 闭麦
bml 别骂了
bp 白嫖
bt 变态
btw 顺便说一句
bunny忘记 把你忘记
bx 不行
bylf 本佣立返
b格 逼格
b脸 屄脸
cai 菜
cao 操
cbt 猜不透
ccav 报喜不报忧
ccp 处对象
cdd 臭弟弟
cdx 处对象
cf 嘲讽
cgx 处关系
chao 潮
ciao 操
ciou 丑
cmc 中国版Minecraft
cnm 操你妈
cp 对象
cpy文学 脆皮鸭文学
cqy 处Q友
csb 查水表
ct 警察
ctm 操他妈
cx 抄袭
c位 center位
dalao 大佬
dbq 对不起
dd 弟弟
dd 顶顶
ddl deadline
de 的
dei 对
der 的
dl 大佬
dn 大牛
dou 逗
drl 打扰了
ds diss
duck不必 大可不必
dui 怼
dw 怼
dy 队友
e 额
en 嗯
er 儿
excel 而过 一笑而过
exm excuseme
ez easy
f 佛
f**k fuck
f*k fuck
fa 花
fang 慌
fb facebook
fb foreverbye
fc 废柴
fei 非
five 废物
fk fuck
fo 佛
fufu 呼呼
funnymudpee 放你妈的屁
fu吸 呼吸
fw 废物
gan 干
gang 杠
gc 高潮
gck 滚出去
gd 光电
gdx 狗东西
gdzd 搞到真的
gf girlfriend
gfs 高富帅
gg goodgame
gg 哥哥
ggrks 自己去google一下啊
ghs 搞黄色
ghser 搞黄色的人
gj 杠精
gkd 搞快点
gl 女同性恋
gnps 关你屁事
gou 狗
gs 公司
gsm 搞什么
gsq 搞事情
gun 滚
guna 滚啊
gw guesswhat
gwi则 规则
gwps 关我屁事
gx 恭喜
gx 搞笑
gzs 工作室
g了 gameover了
hh 哈哈
hhh 呵呵呵
high 开心
hin 很
homie 兄弟
hou 好
hx 和谐
hyh 后援会
hyq 好友圈
i了 爱了
j8 男性生殖器
jb 剧本
jb 家暴
jb 男性生殖器
jd 知道
jdl 讲道理
jhq 敬汉卿
jio 脚
jjyy 唧唧歪歪
jms 姐妹们
jo 脚丫子
jo丫 脚丫
jo丫子 脚
jr 鸡儿
ju 批判
jz 集资
kb 捆绑
kl 哭了
kp 控评
ky 没颜色
k他 打他
k你 打你
k她 打她
k它 打它
k我 打我
lb 没品味的人
lj 垃圾
ljyx 垃圾营销
low骚 牢骚
lw 礼物
lz 楼主
lz 老子
md 妈的
mdzz 妈的智障
ml 毫升
mm 妹妹
mm 美眉
mmp fuck
mmp 妈卖批
mpmz 秒评秒赞
mykg Youtube上虚拟主播
myss 美颜盛世
nb 厉害
nbcs 无人在意
nc 脑残
nh 内涵
nmd 你妈的
nsdbd 你说的不对
nsdd 你说得对
nsdd 你说的对
nsdl 你死定了
nsdtdl 你说的太对了
nsl 你死了
o98k ok
odbc 哦大白痴
odk ok
oicu oh i see you
ojbk ok
oxlxs 很菜很辣鸡
papa打脸 啪啪打脸
pb 写真
peach　屁吃
pei 呸
pk 扑街
pldd 漂亮弟弟
plgg 漂亮哥哥
pljj 漂亮姐姐
plmm 漂亮妹妹
ploy 香港理工大学
pmpmp 拼命拍马屁PPL 人们
po主　发帖人
pp 屁屁
pph 披皮黑
pyq 朋友圈
p民　平民
q cute球球 求求
qj 强奸
qnmd 去你妈的
qnmlgbiu 去你马勒戈壁
qs 去死
qsb 去死吧切糕省 新疆
qswl 气死我了
rbq 肉便器
rnb really牛逼
rp 人品
rps 真人cp
rs 人身攻击
rt 如题
ruok Are you ok
rz 弱智
sao 骚
sbt 性变态
se 少恶心
seafood 屁股
sen气 生气
shrek 绿帽子
sj 视奸
sjb 神经病
sjd 是假的
skr 赞同
skr小机灵鬼 是个小机灵鬼
skr汉子 是个汉子
slap 打耳光
sm 虐待
so 手
soho 搜狐
sqgg 帅气哥哥
srds 虽然但是
ss 私生
ssfd 瑟瑟发抖
ssmy 盛世美颜
starfucks 星巴克
swag 酷
sxbk 丧心病狂
sy 手淫
szd 是真的
s谁在唱kr 是谁在唱歌
tan90 不存在
tb 团婊
tbl 太笨了
tc 天朝
tcjj 天朝姐姐
tcl 太惨了
tcl 太菜了
tfl 太烦了
tg 舔狗
th 土豪
thx thanks
tk 偷窥
tla 谈恋爱
tmd 他妈的
tnnd 他奶奶的
tql 太强了
ts 同上
tsl 太傻了
tx 腾讯
ty thank you
u1s1 有一说一
umc 国际版Minecraft
up主 上传者
uuz 幽幽子
uvb 户外紫外线
uzi 乌兹
vans 完事
vanyousee 玩游戏
vb 微博
vc 虚拟歌手引擎VOCALOID
vvvv 湾湾
vx 微信
wanan 我爱你爱你
wanan 晚安
wb 欢迎回来
wdnh 《我的女孩》
wdnmd 我屌你妈的
wjjw 哇唧唧哇（娱乐公司）
wqnmb 我去你妈逼
wqnmlgb 我去你妈了个屄
wsl 我死了
ww 湾湾
wxfs 《无心法师》
wyns 无仪宁死
xfxy 腥风血雨
xj 戏精
xjb 洗脚婢（团队内无人气的偶像）
xjj 小姐姐
xjm 小姐妹
xlx 小聋瞎
xmly 喜马拉雅（指二者之间档次差得很远）
xmsl 羡慕死了
xswl 笑死我了
xtm 小透明
xxj 小学鸡
xxss up主小熊绅士
xxzdgy 小心中单光一
y1s1 有一说一
yjgj 有句港句（有句讲句）
yjjj 有句讲句
yjsj 有句说句
yxh 营销号
yysy 有一说一
zcy902 战场原是你吗
zei 嘴
zei 最
zei 醉
zqsg 真情实感
