一亅 丁
一乚 七
丿乚 七
一勹 万
一刀 万
一乂 丈
一二 三
一一一 三
一丨一 上
丶丨一 上
一卜 下
一丨丶 下
一丿丨丶 不
一丨一 丑
月一 且
廿丨一 世
厂工 丘
厂丅一 丘
一人冂 丙
丿去 丢
丷开 并
丶丶丨 丫
口丨 中
丿二丨 丰
三丨 丰
口口丨 串
中口 串
丶九 丸
冂丶一 丹
丶王 主
丿入 久
丿丅二 乍
丿丷一亅 乎
丿之 乏
丘丿 乒
丘丶 乓
千北 乖
禾北 乘
禾北 乘
禾丬匕 乘
丿乙 九
丿一乙 乞
卩丨乚 也
孚乙 乳
一十 干
舌乙 乱
舌乚 乱
乛亅 了
乛亅 予
一口聿 事
一口肀 事
一一 二
二亅 于
二厶 云
一彑 互
二丨 五
二丿丨 井
此二 些
一业 亚
一业 亚
丶匸 亡
亠几 亢
亠父 交
亠丿亅八 亦
亠口了 亨
亠口子 享
亠口小 京
亠口冖丁 亭
亠口冖儿 亮
丿乀 人
人十 什
亻十 什
人二 仁
亻二 仁
人卜 仆
亻卜 仆
人九 仇
亻九 仇
人丶乛 今
人丿丨 介
人乃 仍
亻乃 仍
人子 仔
亻子 仔
人士 仕
亻士 仕
人也 他
亻也 他
人丈 仗
亻丈 仗
人寸 付
亻寸 付
人山 仙
亻山 仙
冂一口 同
人千 仟
亻千 仟
人弋 代
亻弋 代
人一卩 令
丶人 以
人卬 仰
亻卬 仰
人中 仲
亻中 仲
人牛 件
亻牛 件
人壬 任
亻壬 任
人分 份
亻分 份
人方 仿
亻方 仿
人止 企
人尹 伊
亻尹 伊
人五 伍
亻五 伍
人支 伎
亻支 伎
人犬 伏
亻犬 伏
人戈 伐
亻戈 伐
人木 休
亻木 休
人火 伙
亻火 伙
人白 伯
亻白 伯
人古 估
亻古 估
人半 伴
人令 伶
亻令 伶
人申 伸
亻申 伸
人司 伺
亻司 伺
人以 似
亻以 似
人田 佃
亻田 佃
人旦 但
亻旦 但
一丿巾 布
人立 位
亻立 位
人氐 低
亻氐 低
人主 住
亻主 住
人左 佐
亻左 佐
人右 佑
亻右 佑
人可 何
亻可 何
人于八 余
人弗 佛
亻弗 佛
人乍 作
亻乍 作
人尔 你
亻尔 你
人用 佣
亻用 佣
人几帀 佩
亻几帀 佩
人老 佬
亻老 佬
人羊 佯
亻羊 佯
人百 佰
亻百 佰
人圭 佳
