Id Label Weight
毛泽东 毛泽东 914
蔡和森 蔡和森 264
任弼时 任弼时 144
江青 江青 61
杨昌济 杨昌济 65
杨开慧 杨开慧 120
叶挺 叶挺 217
李富春 李富春 75
毛岸英 毛岸英 126
毛岸青 毛岸青 57
向警予 向警予 193
向振熙 向振熙 11
杨开智 杨开智 32
毛岸龙 毛岸龙 5
毛泽民 毛泽民 98
陈都灵 陈都灵 64
李沁 李沁 179
江铠同 江铠同 92
钱芳 钱芳 21
周冬雨 周冬雨 154
贺子珍 贺子珍 165
贺焕文 贺焕文 37
贺敏学 贺敏学 77
李敏 李敏 96
孔令华 孔令华 22
苏醒 苏醒 36
贺怡 贺怡 130
裴明伦 裴明伦 1
黄敬 黄敬 13
唐纳 唐纳 3
毛岸红 毛岸红 7
毛泽覃 毛泽覃 158
蔡畅 蔡畅 62
邵华 邵华 68
文章 文章 429
毛新宇 毛新宇 52
刘思齐 刘思齐 43
孔从洲 孔从洲 37
孔继宁 孔继宁 29
孔东梅 孔东梅 56
李讷 李讷 18
毛贻昌 毛贻昌 12
毛泽连 毛泽连 22
文七妹 文七妹 16
王淑兰 王淑兰 7
朱旦华 朱旦华 41
毛远新 毛远新 58
赵先桂 赵先桂 11
周文楠 周文楠 44
裴光 裴光 43
毛楚雄 毛楚雄 7
贺麓成 贺麓成 98
刘滨 刘滨 26
毛东东 毛东东 9
毛甜懿 毛甜懿 6
平安 平安 424
毛远志 毛远志 3
李漱清 李漱清 12
李崇德 李崇德 3
杨展 杨展 41
李一纯 李一纯 11
杨洋 杨洋 149
温吐秀 温吐秀 17
贺敏仁 贺敏仁 17
陈东升 陈东升 79
陆昂 陆昂 27
陈显宝 陈显宝 1
李德文 李德文 10
俞明震 俞明震 44
俞大纯 俞大纯 6
俞珊 俞珊 71
范瑾 范瑾 19
俞正声 俞正声 6
方令孺 方令孺 29
陈振亚 陈振亚 42
张文秋 张文秋 153
刘谦初 刘谦初 75
杨茂之 杨茂之 6
王效芝 王效芝 20
王景清 王景清 2
王瑞雪 王瑞雪 1
王颢文 王颢文 1
李莉 李莉 8
毛恩普 毛恩普 7
钱希均 钱希均 7
钱之光 钱之光 19
方志纯 方志纯 29
毛岸平 毛岸平 8
毛泽建 毛泽建 4
郝明莉 郝明莉 26
想想 想想 15
江英 江英 25
高度 高度 55
全秀凤 全秀凤 5
毛小青 毛小青 33
李立三 李立三 70
蔡霖 蔡霖 2
李秀文 李秀文 52
叶正大 叶正大 44
叶正明 叶正明 3
叶华明 叶华明 52
叶正光 叶正光 1
叶启光 叶启光 5
叶大鹰 叶大鹰 58
徐静蕾 徐静蕾 163
王亚楠 王亚楠 82
欧豪 欧豪 209
俞慈声 俞慈声 2
赵太侔 赵太侔 92
俞文葆 俞文葆 9
陈宝箴 陈宝箴 73
俞明颐 俞明颐 12
陈三立 陈三立 96
俞明诗 俞明诗 14
陈奕伦 陈奕伦 26
李咏 李咏 75
田曦薇 田曦薇 12
姜潮 姜潮 108
宋妍 宋妍 46
余玥 余玥 30
严禹豪 严禹豪 27
姜彭 姜彭 26
王凯 王凯 168
李崇善 李崇善 1
李莎 李莎 5
葛健豪 葛健豪 108
蔡麓仙 蔡麓仙 26
刘昂 刘昂 6
李特特 李特特 41
蔡博 蔡博 92
李婷 李婷 78
王灿 王灿 31
蔡妮 蔡妮 50
潘粤明 潘粤明 235
霍政谚 霍政谚 55
王朔 王朔 59
郭柯宇 郭柯宇 52
安琪 安琪 108
胡军 胡军 276
霍思燕 霍思燕 160
魏大勋 魏大勋 81
徐璐 徐璐 128
乔任梁 乔任梁 174
蓝正龙 蓝正龙 133
张黎 张黎 155
赵文瑄 赵文瑄 134
李冰冰 李冰冰 323
姜文 姜文 212
傅秋涛 傅秋涛 69
赵一曼 赵一曼 129
郑佑之 郑佑之 62
陈达邦 陈达邦 64
陈掖贤 陈掖贤 62
傅斯年 傅斯年 173
刘安琪 刘安琪 3
李雅兰 李雅兰 2
李英男 李英男 4
宋宝英 宋宝英 4
董璇 董璇 86
吕夏 吕夏 52
马伊琍 马伊琍 306
胡静 胡静 118
方维夏 方维夏 47
张惠妹 张惠妹 132
那英 那英 191
李玟 李玟 91
陈琮英 陈琮英 49
任远志 任远志 2
任远征 任远征 5
任远芳 任远芳 4
俞扬和 俞扬和 1
蒋孝章 蒋孝章 2
俞大绂 俞大绂 86
俞大彩 俞大彩 9
陈寅恪 陈寅恪 197
李勇 李勇 16
任远远 任远远 1
傅仁轨 傅仁轨 9
陈师曾 陈师曾 3
陈隆恪 陈隆恪 4
陈方恪 陈方恪 58
陈登恪 陈登恪 6
孟真 孟真 8
俞祖声 俞祖声 4
张杰 张杰 314
蔡徐坤 蔡徐坤 51
佟丽娅 佟丽娅 355
成龙 成龙 486
李晨 李晨 271
Angelababy Angelababy 154
杨帆 杨帆 50
周杰伦 周杰伦 148
井柏然 井柏然 150
谢霆锋 谢霆锋 297
刘若英 刘若英 200
黄晓明 黄晓明 537
赵又廷 赵又廷 169
黄渤 黄渤 345
文静 文静 129
郭富城 郭富城 348
林俊杰 林俊杰 173
梁家辉 梁家辉 203
杨幂 杨幂 387
刘诗诗 刘诗诗 213
倪妮 倪妮 136
邓伦 邓伦 110
江疏影 江疏影 179
杨子姗 杨子姗 86
朱正廷 朱正廷 35
沙溢 沙溢 376
郑恺 郑恺 210
杜海涛 杜海涛 81
郭麒麟 郭麒麟 53
白鹿 白鹿 64
小海绵 小海绵 3
张涵予 张涵予 230
杜江 杜江 98
袁泉 袁泉 209
梁朝伟 梁朝伟 259
陈奕迅 陈奕迅 396
白宇 白宇 146
吴倩 吴倩 72
谭松韵 谭松韵 96
李连杰 李连杰 302
范冰冰 范冰冰 408
向佐 向佐 49
阮经天 阮经天 150
郝蕾 郝蕾 153
陈坤 陈坤 386
舒淇 舒淇 301
夏雨 夏雨 291
陈晓 陈晓 319
朱亚文 朱亚文 217
杨文军 杨文军 136
佟大为 佟大为 345
王宝强 王宝强 282
陈赫 陈赫 193
顾长卫 顾长卫 30
王珞丹 王珞丹 216
张家辉 张家辉 225
徐克 徐克 277
冯绍峰 冯绍峰 333
刘嘉玲 刘嘉玲 167
林更新 林更新 167
巍子 巍子 107
柯震东 柯震东 97
甄子丹 甄子丹 178
陈妍希 陈妍希 165
冯德伦 冯德伦 134
江珊 江珊 125
赵树海 赵树海 39
刘德华 刘德华 583
秦海璐 秦海璐 287
朱雨辰 朱雨辰 118
周扬 周扬 178
何洁 何洁 72
桂纶镁 桂纶镁 154
刘烨 刘烨 546
冯远征 冯远征 205
李雪健 李雪健 162
古天乐 古天乐 422
张柏芝 张柏芝 274
闫妮 闫妮 337
徐熙媛 徐熙媛 154
郑中基 郑中基 163
徐子珊 徐子珊 86
钟欣潼 钟欣潼 95
余文乐 余文乐 168
陈冠希 陈冠希 270
邓丽欣 邓丽欣 77
任嘉伦 任嘉伦 97
张雨剑 张雨剑 53
程潇 程潇 52
印小天 印小天 115
马天宇 马天宇 183
朱一龙 朱一龙 102
黄轩 黄轩 184
周一围 周一围 164
宋轶 宋轶 68
啜妮 啜妮 59
任重 任重 175
钟汉良 钟汉良 278
孙艺洲 孙艺洲 126
甘婷婷 甘婷婷 102
于波 于波 108
杜淳 杜淳 356
陆毅 陆毅 345
杨蓉 杨蓉 190
陈伟霆 陈伟霆 274
张国立 张国立 508
罗志祥 罗志祥 162
